HSC	Prog	GMP	ProMono	Mono	cDC	pDC	earlyEry	lateEry	ProB	B	Plasma	T	CTL	NK
NFKBIZ	RPS3	PPIB	SAP30	CLEC12A	SGK1	SEL1L3	MIF-AS1	KCNH2	CBX5	MARCH1	FBXW7	ATM	TMEM2	UTRN
COMMD6	RPS5	LYST	GABARAP	ANXA2	AP1S2	SERPINF1	PHF6	AKR1C3	TMPO	KLF6	SELENOK	ARL4C	FYN	PARP8
RPL30	NPM1	CFD	H2AFZ	AIF1	HLA-DMB	IGFLR1	CDH1	CENPU	LEF1	KIAA1551	ISG20	CDKN1B	FYB1	BIN2
HIST1H1C	HINT1	FNDC3B	OAZ1	S100A11	CLEC12A	SMPD3	ELOVL6	MINPP1	TUBA1B	HLA-DPB1	SPCS1	JUNB	SLC38A1	SH2D1B
HIST1H2BG	BEX3	GYPC	CEBPD	IRS2	GABARAP	B4GALT1	NMI	CCT6A	VDAC1	MARCKS	TRAM1	PTPRC	ARAP2	CDC42SE1
EIF4A2	RPS18	SNHG25	ENO1	MPEG1	TMSB4X	STX7	TRIB2	DNAJC9	PSMA6	STAP1	PLPP5	ITK	RNF125	HIPK2
RPL35A	RPL15	CANX	TSPO	CD36	CAP1	CCDC186	C1QBP	GLRX5	BACH2	LINC01781	HSPA5	EVL	KLRG1	EFHD2
RPL31	SDK2	ANXA1	CD302	TSPO	CSTA	SOX4	CTNNBL1	MYH10	SPTBN1	CYTIP	DNAJB9	TC2N	DNAJB1	HLA-B
ZBTB20	TCF4	KBTBD11	CLEC12A	CD68	IRF8	PPP1R14B	ATPIF1	APOC1	EZH2	REL	ZBTB38	BIRC3	TARP	IGF2R
ADGRG6	RPS23	PLAC8	VCAN	CKAP4	SHTN1	STMN1	PCLAF	CENPF	KNL1	CD22	IFNAR1	MGAT4A	CST7	HLA-E
RNU4-2	RPL18	CSF3R	FAM107B	SLC2A3	FAM49B	PPM1K	NAA38	UROD	H2AFZ	CD79B	PDK1	BTG1	CXCR4	GIMAP7
RPS2	MAP7	TNFSF13B	FABP5	COTL1	HLA-DMA	NAPSB	CKS2	PAICS	PCLAF	TP53INP1	KLF6	STK4	HLA-F	CALM1
HOPX	LAPTM4B	MIF	ECRP	LRRK2	SULF2	EP400NL	SERBP1	HBS1L	TCL1A	MTSS1	MYDGF	CYTH1	IL7R	PRKCH
RPL9	RPS4X	GAPDH	PLAC8	APLP2	S100A4	RRBP1	HLTF	FECH	PTMA	TPD52	TXNDC11	PPP1R2	SH2D1A	CLIC3
